PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2002-01-27,-1.45, 4.26, 2.10, 1.7, 1.81, 7.41, repro,
2002-01-28,-2.96, 2.90, -0.84, 1.97, 1.91, 8.33, repro,
2002-01-29,-1.30, 0.89, -0.87, 1.37, 1.6, 5.84, repro,
2002-01-30,-1.41, 2.76, -0.87, 2, 2.03, 8.58, repro,
2002-01-31,-3.86, 3.05, -2.44, 1.86, 2.03, 7.9, repro,
2002-02-01,-1.70, 1.78, -11.83, 1.91, 2.21, 8.29, repro,
2002-02-02,-2.37, 1.40, 3.61, 1.87, 1.95, 8.07, repro,
2002-02-03,-0.89, 1.73, -1.27, 1.7, 1.8, 7.29, repro,
2002-02-04,-3.41, 2.84, -3.59, 1.83, 1.93, 7.77, repro,
2002-02-05,-3.75, 4.93, -3.45, 1.94, 2.3, 7.86, repro,
2002-02-06,-1.18, 2.39, -4.72, 1.72, 1.82, 7.22, repro,
2002-02-07,-3.32, 2.16, -6.27, 2.22, 2.25, 9.91, repro,
2002-02-08,-4.95, 2.78, -8.47, 1.98, 2.04, 8.31, repro,
2002-02-09,-6.96, 2.81, -9.00, 1.88, 1.96, 7.98, repro,
2002-02-10,-7.27, 4.75, -8.78, 1.88, 1.91, 8.24, repro,
2002-02-11,-3.66, 3.85, -3.72, 1.98, 2.23, 8.46, repro,
2002-02-12,-5.81, 6.22, -3.54, 1.76, 1.78, 7.27, repro,
2002-02-13,-6.90, 2.84, -6.46, 2.31, 2.67, 9.63, repro,
2002-02-14,-6.14, 5.14, -3.12, 1.79, 1.95, 8.03, repro,
2002-02-15,-4.96, 2.70, -9.37, 1.73, 1.87, 7.6, repro,
2002-02-16,-6.65, 5.88, -7.06, 1.8, 1.91, 7.78, repro,
2002-02-17,-6.75, 2.52, -12.79, 1.68, 1.75, 7.03, repro,
2002-02-18,-3.64, 2.19, -11.26, 1.56, 1.68, 6.43, repro,
2002-02-19,-1.46, 0.37, -11.27, 1.67, 1.83, 6.86, repro,
2002-02-20,-1.80, -1.05, -15.18, 1.67, 1.8, 7.07, repro,
2002-02-21,-1.91, -0.03, -6.03, 2.12, 2.2, 9.46, repro,
2002-02-22,-3.48, 0.41, -8.93, 1.93, 2.05, 8.33, repro,
2002-02-23,-5.48, 0.96, -11.33, 2.49, 2.81, 10.7, repro,
2002-02-24,-4.85, 4.98, -8.18, 1.63, 1.82, 7.11, repro,
2002-02-25,-0.03, 4.25, -5.78, 5.56, 5.79, 13.29, repro,
2002-02-26,-2.03, 0.68, -16.42, 1.73, 1.9, 7.21, repro,
